id,ilgar_comp_id,company_name
1,CMP4BRBN8W168,BP PETROLLERİ A.Ş.
2,CMP4BRBN901GP,BRISA BRIDGESTONE
3,CMP584JK3M4149,BRİSA BRİDGESTONE SABANCI LASTİK SAN.VE TİC.A.Ş.
4,CMP026FJ5274SC1MH,COLAKOGLU METALURJI A.S.
5,CMP3W9BFRT1BH,DOĞUŞ OTOMOTİV SERVİS VE TİC.A.Ş
6,CMP7L9DHK8417W,DYSTAR KIMYA SANAYI VE TICARET LIMITED ŞIRKETI
7,CMP7M9HUSJS2HJ,ERK PAZARLAMA VE GİYİM SAN. TİC. AŞ
8,CMP427ES6J155,GENERAL ELEKTRİK TİC.VE SERVİS A.Ş.
9,CMP43FCJW515S,GÜZEL ENERJİ AKARYAKIT A.Ş.
10,CMP8JTJBD23100,HOTİÇ DERİ ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
11,CMP7WRJMMT313X,HİPP DIŞ TİCARET LİMİTED ŞİRKETİ
12,CMP4BRC1GH1AG,MAPA MOBİLYA VE AKSESUAR PAZ.A.S.
13,CMP4BRC29A1K8,MİCHELİN LASTİKLERİ TİCARET A.Ş.
14,CMPBHLFKRMD205,SIBUR İSTANBUL ULUSLARARASI TİCARET LİMİTED ŞİRKETİ
15,CMP-SOLGUM-NAK,SOLMAZ GÜMRÜK MÜŞAVİRLİĞİ A.Ş. - TAŞIMACILIK İSTANBUL ŞUBESİ
16,CMP-SOLNAK-IST,SOLMAZ ULUSLARARASI EKSPRES TAŞIMACILIK VE TİC.A.Ş
17,CMP42PEX5N1CC,SİKA YAPI KİMYASALLARI A.Ş
18,CMP8WGG9P12D2E1SA,TOTALENERGİES TURKEY PAZARLAMA  A.Ş.
19,CMP4BRC84N1BX,UNIFREE DUTY FREE İŞLETMECİLİĞİ A.Ş. - S.B.
20,CMP972GK0Z71FZ,UNIFREE DUTY FREE İŞLETMECİLİĞİ A.Ş.-TÜRKİYE
21,CMPAM40CCZ1114,CASTROL MADENI YAĞLAR TICARET ANONIM ŞIRKETI
22,CMP59BHUBJ1126,AGT AĞAÇ SAN. VE TİC. A.Ş.
23,CMP7PK9RYS510U,AGT DIŞ TİCARET A.Ş.
24,CMP4BRBN761T6,BOYNER BÜYÜK MAĞAZACILIK A.Ş.
25,CMPBHRFN781112,EGE FREN DIŞ TİCARET A.Ş.
26,CMP7JUHRH2W3TL,LC WAİKİKİ MAĞAZACILIK HİZMETLERİ TİC.A.Ş.
27,CMP504CBK0D2H1,ENERCON RÜZGAR ENERJİ SANTRALİ KURULUM HİZ.LTD.ŞTİ.
28,CMP963ARE8N37E,VİBRACOUSTİC ÇERKEZKÖY OTOMOTİV SANAYİ VE TİCARET ANONİM ŞİRKETİ
29,CMP79P8XCJ2149,VİBRACOUSTİC ÇERKEZKÖY OTO PARÇALARI DIŞ TİC.A.Ş.
30,CMP4BRBS8B1A1,ENERCON SERVİS LTD ŞTİ.
31,CMP55KHN5W18J,NETAŞ TELEKOMÜNİKASYON A.Ş.
32,CMP4BRC7SU1PZ,MENARİNİ İLAÇ SAN VE TİC. A.Ş.
33,CMP74LAB61111W,MENARİNİ SAĞLIK VE İLAÇ SANAYİ TİCARET A.Ş.
34,CMP3BCDRSA,TAS.HAL.GEDORE EL ALETLERİ SAN. VE TİC.LTD.ŞTİ.
35,CMP3P3CK511YF,EGE FREN SAN. VE TİC.AŞ.
36,CMP4BRC7UK1YT,MENARİNİ STEMLİNE İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ
37,CMPB9F9KSN1112,LC WAİKİKİ DIŞ TİCARET ANONİM ŞİRKETİ
38,CMP4H5CURA19Z,ADOPEN PLASTİK VE İNŞAAT SAN. AŞ.
39,CMP8WNHK9HP91M2TE,ECZACIBAŞI TÜKETİM ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
40,CMP7WYA43U112N,HIPP DIŞ TİCARET LTD.ŞTİ.-KARGO ALICILARI
41,CMP-SOLGUM-IZM,SOLMAZ GÜMRÜK MÜŞAVİRLİĞİ A.Ş.- İZMİR
45,CMP007E7418T7X31N,ENERCON RUEZGAR ENERJI SANTRALI KURULUM HIZMETLERI LTD. STI.
46,CMP963BMH71112,GUESS TURKEY PERAKENDE SAT.MAĞAZACILIK VE TİC.LTD.ŞTİ.
47,CMP-SOLDEN-IST,SOLMAZ DENİZCİLİK VE TİC.A.Ş
48,CMP8WP9TMSXEU113L,EEFZ DIŞ TİCARET A.Ş.
49,CMPA3CF9YR112P,ARMİNE GİYİM SAN.TİC.A.Ş-OPR
50,CMP47N0M7L1AE,BOSTİK KİMYA SANAYİ VE TİCARET A.Ş.
51,CMP4JFF4SK13X,DOĞUŞ OTOMOTİV SERVİS VE TİC. A.Ş.
52,CMPA6MBJ411112,İNTRA MEDİKAL GEREÇLER PAZ. LTD. ŞTİ.
53,CMP50CJJ795140,S LOJİSTİK HİZMETLER A.Ş.
54,CMP9CC0J5J4141,JOHNSON CONTROLS KLİMA VE SOĞUTMA SERVİS SAN.VE TİC.A.Ş. EGE SERBEST BÖLGE ŞUBESİ
55,CMP932CN5CA1XJ,AVIENT TURKEY RENKLENDIRICI VE KATKı MADDELERI SANAYI VE TICARET ANONIM ŞIRKETI
56,CMP4UUDT8S1GR,S SİSTEM LOJİSTİK HİZMETLER A.Ş
57,CMP8CSH4HP61JR,HOTİÇ AYAKKABI SAN. VE TİC. A.Ş.
58,CMP-ORCLOJ-IST,ORKA LOJİSTİK HİZMETLERİ LTD.ŞTİ.
59,CMP-SOLLOJ-IST,SOLMAZ LOJİSTİK HİZMETLER A.Ş.
60,CMP-LIFWAV-IST,LİFEWAVE DOĞRUDAN PAZARLAMA VE TİC.A.Ş.
61,CMP5B4H43JL1Y7,HEMPEL COATINGS SAN.VE TİC.LTD.STİ.
62,CMP4ADBK3T1H2,SHELL&TURCAS PETROL A.Ş.
63,CMP8WRFAN2UBAA188,APRO ALÜMİNYUM PROFİL SANAYİ VE TİCARET A.Ş.
64,CMP9PDG2HF01BW,NPI SIHHI TESISAT MALZEMELERI TICARET A.Ş.
65,CMP7TPJ1APD1C9,AKCAN JENERATÖR ELEKTRİK ELEKTRO.VE MAK.SAN TİC.LTD.ŞTİ
66,CMP0HZFBBD311U,SÜPERPAR OTOMOTİV SAN.VE TİC.A.Ş.
67,CMP4AYFWLT153,DELTA ALFA ÇORAP VE TEKSTİL SANAYİ TİCARET A.Ş.
68,CMP-SOLNAK-IZM,SOLMAZ NAKLİYAT VE TİC. A.Ş - İZMİR
69,CMP9WLFH8B316T,HOTİÇ AYAKKABI SAN. VE TİC. A.Ş. ( DEPO )
70,CMP9STAUR9F10G,BOSTİK KİMYA SANAYİ VE TİCARET A.Ş-YAPI
71,CMP-SOLSGR-IST,SOLMAZ SİGORTA ACENTELİĞİ A.Ş
333,CMP9R2HABW014R,İKEA ANKARA MAPA MOBİLYA
72,CMPALKE07Z215E,POP YAZILIM VE TEKNOLOJİ ÜRÜNLERİ A.Ş
73,CMP0BGG0W8E28C,WABTEC FAİVELEY TURKEY ULAŞIM SİSTEMLERİ VE HİZMETLERİ A.Ş
74,CMP3H8F1M7,ÇOLAKOĞLU METALURJİ A.Ş.
75,CMP9SEGN07J1T5,DRAEGER SAFETY KORUNMA TEKNOLOJİLERİ ANONIM ŞİRKETİ
76,CMP004JT19B1P9,ALPAR METAL ENJEKSİYON SAN.TİC.LTD.ŞTİ.
77,CMP5NFAFXP212Y,ANKUTSAN ANTALYA KUTU SN.OLUKLU MUKAVVA KAĞ.TC.A.Ş.
78,CMP3TW0XAL1PU,KONE ASANSÖR SANAYİ VE TİC.A.Ş.
79,CMP6LE0T396177,RED BULL GIDA DAĞITIM VE PAZARLAMA TİC.LTD.ŞTİ.
80,CMP6WTF9PY71C2,RWE TURCAS GÜNEY ELEKTRIK ÜRETİM A.Ş.
81,CMPA3UG2N42131,SDK SERA OTOMASYON SİSTEMLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ
82,CMP8LAGFUJL2ZM,TÜRKSPOR İSTANBUL
83,CMPBR5AHER1112,YALÇIN BORU JEOTERMAL İMALAT İNŞAAT TURİZM NAKLİYE GIDA TERMAL SANAYİ VE TİCARET ANONİM ŞİRKETİ
84,CMP4NJH1WH130,YALÇIN BORU JEOTERMAL İML.İNŞ.TUR.NAK.GIDA TER.SAN.VE TİC.LTD.ŞTİ.
85,CMP87LJ4664135,ALTERA DIŞ TİCARET A.Ş.
86,CMP0MLF2H81112,CARTER'S ONLİNE ALIŞVERİŞ
87,CMP43HAXLN17N,GRANİTAŞ GRANİT SAN. VE PAZ. A.Ş.
88,CMP7BXGTHP1137,GRİD SOLUTİONS ENERJİ ENDÜSTRİ A.Ş.
89,CMP3MZG6HL1JY,ITX TURKEY PERAKENDE İTHALAT  İHRACAT VE TİCARET LİMİTED ŞİRKETİ.
90,CMP644N41L113N,JOHNSON CONTROLS KLİMA SOĞUTMA SERVİS SN.VE TC.A.Ş.
91,CMPACYF9SD4141,KEMER GIDA PAZARLAMA DAĞITIM A.Ş.
92,CMP9AKJ1SYA1KY,NASDA SOLUTIONS TEKSTİL VE SANAYİ A.Ş.
93,CMP6SUHDLRA1WH,SAMSUN YURT SAVUNMA SAN. VE TİC AŞ
94,CMP86LDXEK113N,SHELL&TURCAS-CREDIT
95,CMP-SMAGUM-IST,SMA GÜMRÜK MÜŞAVİRLİĞİ LİMİTED ŞİRKETİ
96,CMP-SOLGUM-NIZ,SOLMAZ GÜMRÜK MÜŞAVİRLİĞİ A.Ş. - TAŞIMACILIK İZMİR ŞUBESİ
97,CMP-SOLGUM-MRN,SOLMAZ GÜMRÜK MÜŞAVİRLİĞİ A.Ş.-MERSİN
98,CMP567BT3Y1MT,SP HAVACILIK HİZMETLERİ A.Ş.
99,CMP-SOLYLH-IST,İKS LOJİSTİK HİZMETLERİ A.Ş.
100,CMP4BRBUXY156,İPTAL - İNTRA MEDİKAL GEREÇLER PAZ. LTD. ŞTİ.
101,CMP8WNJ2E0AUM6171,ALP ÇELİK SAN. VE TİC.A.Ş.
102,CMP8KUCJ8HG2B2,AN-EL ANAHTAR VE ELEKTRİKLİ EV ALETLERİ SAN.A.Ş
103,CMP9CFEEXP91CM,ARÇE MÜHENDİSLİK İNŞAAT VE TİCARET LTD.ŞTİ.
104,CMP4BRBPW71C8,DENTAŞ AMBALAJ VE KAĞIT SAN. A.Ş.
105,CMP9CDG2L5E1HB,ESTGAL SICAK GALVANİZ TEKNOLOJİLERİ SAN. VE TİC.A.Ş.
106,CMP6HTBFHJ91RR,FOXCONN TR TEKNOLOJİ SANAYİ LTD.ŞTİ.
107,CMP86WANHTR3PG,HAS GROUP MAKİNA ENDÜSTRİ A.Ş.
108,CMP8WNNPP2798X2D1,IŞIK AMBALAJ VE İZOLASYON SANAYİ TİCARET LTD.ŞTİ.
109,CMP9CMHHYAA10L,JOY REKLAM ORGANİZASYON ELK.İNŞ.GIDA SAN.TİC.LTD.ŞTİ.
110,CMP94JF00071E8,KAİSER TEKSTİL VE KİMYEVİ ÜRÜNLERİ PAZARLAMA TİC. A.Ş.
111,CMP4BRBX05157,KENT PLASTİK SANAYİ VE TİCARET LTD.ŞTİ.
112,CMP04CH331KRNH2W7,LINDSAY SULAMA VE ALTYAPI SAN. TIC. A.S.
113,CMP8AFANA8G2CL,LİNDSAY SULAMA VE ALTYAPI SAN. VE TİC. A.Ş.
114,CMP8MUET69P2PG,MARMARA SIEGENER GALVANİZ SAN. VE TİC. A.Ş.
115,CMP7UCEGTET38P,MEGA CARPET HALI TEKSTİL KOLL. ŞTİ
116,CMP8WNJLG2EWRE19E,MEGA METAL MAMÜLLERİ SAN. VE TİC. LTD. ŞTİ.
117,CMP8WNPBR9NA50161,MUBEA AVIATION HAVACILIK SANAYİ VE TİCARET ANONİM ŞİRKETİ
118,CMP8WNJ7WSAGMR3WZ,MUBEA ROLLBONDING PRODUCTS TEKNİK MONTAJ SANAYİ VE TİCARET ANONİM ŞİRKETİ
119,CMP63BB9WFM1TT,NORM CİVATA SAN. VE TİC. A.Ş.
120,CMP4KKCEPW1J0,PHILIP MORRIS PAZARLAMA VE SATIŞ ANONİM ŞİRKETİ
121,CMP4BRC4791PW,PHILIP MORRIS TÜTÜN MAMULLERİ SANAYİ VE TİCARET A.Ş.
122,CMP8WNNXB1DX7G1FY,POYTEKS TEKSTİL AMBALAJ SAN. VE TİC. LTD. ŞTİ.
123,CMP8WRF0C1F0301H7,RAYON TEKSTİL SANAYİ VE DIŞ TİC.LTD.ŞTİ.
124,CMP93TA1MC2125,SAKE YAPI MALZEMELERİ SAN. VE TİC. LTD. ŞTİ.
125,CMP6HSB0CN2119,TART ENDÜSTRİYEL AMBALAJ SAN.TİC. LTD.ŞTİ
126,CMP8KPGEG5H2DJ,TAT MÜHENDİSLİK OTOMOTİV SANAYİ VE TİCARET LİMİTED ŞİRKETİ
127,CMP8WNP13GXJ1X4DN,TEKİN YÖNETİM İŞ SAĞLIĞI VE GÜVENLİK HİZ.SAN.VE TİC.LTD.ŞTİ.
128,CMP8CYENHLM1FT,TRAKYA KARTON KÖŞEBENT AMBALAJ SAN. VE TİC. LTD. ŞTİ.
129,CMP768EP5M410C,UNILEVER SANAYİ VE TİCARET TÜRK A.Ş.
130,CMP7USG0S1A1RR,UNİLEVER SAN.VE TİC
131,CMP8REDNLY01SY,UNİLEVER SAN.VE TİC A.Ş.
132,CMP8WS0P70R2XP,UNİLEVER SAN.VE TİC A.Ş.(ALGİDA KONYA)
133,CMP8WYDAKP7162,UNİLEVER SAN.VE TİC A.Ş..
134,CMP8WNP190Y9XM3H5,ZENART MİMARLIK MÜHENDİSLİK MOB.DEK.TUR.SAN.VE TİC.LTD.ŞTİ.
135,CMP4450RW9142,TEKNOSA İÇ VE DIŞ TİCARET A.Ş.
136,CMP0BY079C113D,3HAN ELEKTRONİK İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ
137,CMP6C8ALYR2159,ATOMSAN ELEKTRONİK SAN VE TİC LTD ŞTİ
138,CMP9SS0K6Y216G,TEKNOLOJİKMARKET ELEKTRONİK SANAYİ VE TİC.LTD.ŞTİ
139,CMP0PXAL2H3193,ASG MOBİLYA İTHALAT İHRACAT VE DIŞ TİCARET LİMİTED ŞİRKETİ
140,CMP3S0B0XW1AD,EGE ENDÜSTRİ VE TİCARET A.Ş.
143,CMP6W3GTNAM1Y9,EGE ENDÜSTRİ VE TİCARET A.Ş. SERBEST BÖLGE
146,CMP94N0WYCT2ED,S.P.M.OTOMOTİV ENDÜSTRİ  VE TİC. A.Ş
147,CMP8WNJL6RN6M81E9,EKO HALI PAZARLAMA SAN. VE TİC. LTD. ŞTİ.
148,CMP6T7LAR0113R,ATÜ TURİZM İŞLETMECİLİĞİ A.Ş
149,CMP43E0B7K10T,RİVULİS SULAMA SİSTEMLERİ SAN.VE TİC.A.Ş
150,CMP58BDK8GR3M6,KLAS MEDİKAL CİHAZLARI SAN.MÜMESSİLLİK İÇ VE DIŞ TİC. LTD.ŞTİ.
151,CMPB5MB19LM2YJ,MECANİK  SAVUNMA ÜRÜNL. SAN VE TİC A.Ş.
152,CMP8WRFB30SG3P359,UNIDEF BİRLEŞİK SAVUNMA SANAYİ TİCARET A.Ş.
153,CMPB78G7CE1112,UNIROBOTICS ROBOTİK SİSTEMLER SANAYİ VE TİCARET A.Ş
154,CMP6CHGR9RS24R,ASELSANNET ELK.VE HAB.SİS.SAN.TİC.İNŞ.VE TAAH.LTD.ŞTİ.
155,CMP82XB70291RR,SUGLOBAL TEKSTİL VE KONFEKSİYON SANAYİ A.Ş.
156,CMP-DENIZ-IST,DENİZ YGM YETKİLENDİRİLMİŞ GÜMRÜK MÜŞAVİRLİĞİ A.Ş.
157,CMP9M4AWYN01U7,FERDA YETKİLENDİRİLMİŞ GÜMRÜK MÜŞ.A.Ş.
158,CMP-SLHLOJ-IKT,S LOJİSTİK HİZMETLER ANONİM ŞİRKET DÜNYA TİCARET MERKEZİ
159,CMP-SISLOJ-IKT,S SİSTEM LOJİSTİK HİZMETLER A.Ş- İKİTELLİ
160,CMP-SPHHIZ-IST,SP AVIATION
161,CMP-SOLGUV-IST,SİSTEM GÜVENLİK HİZMETLERİ LTD. ŞTİ.
162,CMP78AAHPS111H,YGM GÜMRÜK HİZMETLERİ A.Ş.
163,CMP-YGMGUM-IST,YGM GÜMRÜK HİZMETLERİ LTD.ŞTİ.
164,CMP77SE6S1216J,MEDİTERA TIBBİ MALZEME SANAYİ VE TİCARET ANONİM ŞİRKETİ
165,CMP8W80U4K91JJ,MEDİTERA İTHALAT VE İHRACAT ANONİM ŞİRKETİ
166,CMP5SGE7AHE28C,S&MOHR İPLİK FABRİKALARI A.Ş.
167,CMPBBS9MDY316E,LOFT MAĞAZACILIK  AŞ
168,CMP430G3P31AC,HİLTİ İNŞAAT MALZEMELERİ TİC A.Ş.
169,CMP644G8WE2167,NATUREL KOZMETİK TİCARET A.Ş.
170,CMP3H8AF71,NUH YAPI ÜRÜNLERİ A.Ş.
171,CMP374GW6W,NUH ÇİMENTO SAN. A.Ş.
172,CMP794D6SJ91E3,NEOPERL ITALIA SRL
173,CMP08CGPWR3100,REKSOİL PETROKİMYA SANAYİ VE TİCARET ANONİM ŞİRKETİ
174,CMP443K0D31EY,PETROL OFİSİ A.Ş
175,CMP967GKKH61GA,UNILEVER SANAYİ VE TİCARET TÜRK A.Ş.-MERSİN SB
176,CMP8TDEFYF617R,BEYCROP GIDA VE TARIM ÜRÜNLERİ SAN. VE TİC. LTD. ŞTİ.
177,CMP0LTHHENJ2BY,DOĞUŞ OTOMOTİV
178,CMP00LFE811RW313T,LINDSAY SULAMA VE ALTYAPI SAN. VE TIC. A.S.
179,CMP8HGHD02216Y,ATLAS SHIP SUPPLY GEMİ TEDARİK HİZMETLERİ TİCARET ANONİM ŞİRKETİ
180,CMP3MTHRT91XW,AYGAZ A.Ş.
181,CMP3URG4D915R,BERSHKA GİYİM İTH İHR. VE TİC. LTD ŞTİ.
182,CMP7HWHNBXB1DG,DYSTAR KİMYA SANAYİ VE TİCARET LİMİTED ŞİRKETİ-SERBEST BÖLGE
183,CMP0T9FMH51112,ECOSYSTEM TARIM ÜRÜNLERİ TOHUM GÜBRE ZİRAİ İLAÇ TİC.SAN.İTH.VE İHR.A.Ş.
184,CMPAK2FBC0113C,EGE FREN SANAYİ VE TİC.A.Ş. İTHALAT
185,CMP0BTKECLC29L,IMCD TİCARET PAZARLAMA VE DABIŞMANLIK LTD ŞTİ
186,CMP7BRF1A751DR,MAPA MOBİLYA AKSESUAR
187,CMP0L60AEUS28T,MAPA SPONTEX IBRİCA S.A.U
188,CMP3MYA571123,MOBİL OİL TÜRK A.Ş
189,CMP0MWFJLXN2WC,MİRA ENDÜSTRİYEL EĞİTİM DANIŞMANLIK ORG. İNŞ. SAN. TİC. LTD. ŞTİ.
190,CMP959FWAN112Z,MİRA ENDÜSTRİYEL EĞİTİM DANIŞMANLIK ORGANİZASYON İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ
191,CMP8M89GX8L1PL,OKSA KİMYA SANAYİ A.Ş.
192,CMP423F5JW11Y,OYSHO GİYİM İTH.İHR.VE TİC.LTD.ŞTİ.
193,CMP67XEUXY415C,TAFE INTERNATIONAL TRAKTÖR VE TAR. EKİPM.SN.VE TC.LTD.ŞTİ
194,CMP0S3D0WSL1T9,WİNPERAX CAM BALKON VE TENTE SİS.AL.PVC DOĞ.İNŞ.TAŞ.SAN.VE TİC.A.Ş.
195,CMP45UH6971M8,YÜNSA YÜNLÜ SAN. VE TİC. A.Ş.
196,CMP7B7GNMS113P,ÇOLAKOĞLU DIŞ TİCARET A.Ş.
197,CMP3TCD0WN1LK,NETA YAPI ENDÜSTRİ VE TİCARET LİMİTED ŞİRKETİ
198,CMPB8M7H39N1Y7,IWIS TAHRİK SİSTEMLERİ SAN. VE TİC.LTD.ŞTİ
199,CMPAN8ENDR519E,ÜSTAY ULUSLARARASI YAPI TAAHHÜT VE TİCARET A.Ş.
200,CMP5NFBSXF315K,ÜSTAY YAPI TAAHHÜT VE TİCARET ANONİM ŞİRKETİ
201,CMPB9H9U9F1112,ANTCAM CAM PAZARLAMA SANAYİ VE TİCARET A.Ş
202,CMP4WJASBE1GH,TAHA PAZARLAMA VE MAĞAZACILIK A.Ş.
203,CMP4L4A1CP1JH,TEKNOSA İÇ VE DIŞ A.Ş
204,CMP846C6WX8181,ATLAS ENERJİ ÜRETİM A.Ş.
269,CMP7HYDBKZL3A6,GOA INVEST S.A MERKEZİ İSPANYA İSTANBUL MERKEZ ŞUBESİ
205,CMP3UBBJJT117,CLARIANT (TÜRKİYE) BOYA VE KİMYEVİ MAD. SAN VE TİC. A.Ş. (S.BÖLGE)
206,CMP5WFGD4LW1T0,JEOTES MÜHENDİSLİK VE TİC. LTD. ŞTİ.
207,CMP47LHLST1NZ,MONROE AMORTİSÖR İMALAT VE TİCARET A.Ş.
